ensembl_id,log2FC,padj,comp_name
ENSG00000129003,0.346,1.45058391937602e-05,ENSG00000129003_amide
ENSG00000100422,0.403,1.45058391937602e-05,ENSG00000100422_amide
ENSG00000172954,-0.323,1.57449015311798e-05,ENSG00000172954_amide
ENSG00000100554,-0.551,1.59768971607992e-05,ENSG00000100554_amide
ENSG00000143624,0.384,1.64078077921488e-05,ENSG00000143624_amide
ENSG00000115594,0.427,1.66708684774843e-05,ENSG00000115594_amide
ENSG00000084444,-0.666,1.66993773968761e-05,ENSG00000084444_amide
ENSG00000115652,0.617,1.72530646386781e-05,ENSG00000115652_amide
ENSG00000174640,0.533,1.76057688076502e-05,ENSG00000174640_amide
ENSG00000145555,0.382,1.83776718473832e-05,ENSG00000145555_amide
ENSG00000139719,0.727,1.90135398980497e-05,ENSG00000139719_amide
